codigo;descricao
A000;COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE
A001;COLERA DEVIDA A VIBRIO CHOLERAE 01, BIOTIPO EL TOR
A009;COLERA NAO ESPECIFICADA
A010;FEBRE TIFOIDE
A011;FEBRE PARATIFOIDE A
A012;FEBRE PARATIFOIDE B
A013;FEBRE PARATIFOIDE C
A014;FEBRE PARATIFOIDE NAO ESPECIFICADA
A020;ENTERITE POR SALMONELA
A021;SEPTICEMIA POR SALMONELA
A022;INFECCOES LOCALIZADAS POR SALMONELA
A028;OUTRAS INFECCOES ESPECIFICADAS POR SALMONELA
A029;INFECCAO NAO ESPECIFICADA POR SALMONELA
A030;SHIGUELOSE DEVIDA A SHIGELLA DYSENTERIAE
A031;SHIGUELOSE DEVIDA A SHIGELLA FLEXNERI
A032;SHIGUELOSE DEVIDA A SHIGELLA BOYDII
A033;SHIGUELOSE DEVIDA A SHIGELLA SONNEI
A038;OUTRAS SHIGUELOSES
A039;SHIGUELOSE NAO ESPECIFICADA
A040;INFECCAO POR ESCHERICHIA COLI ENTEROPATOGENICA
A041;INFECCAO POR ESCHERICHIA COLI ENTEROTOXIGENICA
A042;INFECCAO POR ESCHERICHIA COLI ENTEROINVASIVA
A043;INFECCAO POR ESCHERICHIA COLI ENTEROHEMORRAGICA
A044;OUTRAS INFECCOES INTESTINAIS POR ESCHERICHIA COLI
A045;ENTERITE POR CAMPYLOBACTER
A046;ENTERITE DEVIDA A YERSINIA ENTEROCOLITICA
A047;ENTEROCOLITE DEVIDA A CLOSTRIDIUM DIFFICILE
A048;OUTRAS INFECCOES BACTERIANAS INTESTINAIS ESPECIFICADAS
A049;INFECCAO INTESTINAL BACTERIANA NAO ESPECIFICADA
A050;INTOXICACAO ALIMENTAR ESTAFILOCOCICA
A051;BOTULISMO
A052;INTOXICACAO ALIMENTAR DEVIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053;INTOXICACAO ALIMENTAR DEVIDA A VIBRIO PARAHEMOLYTICUS
A054;INTOXICACAO ALIMENTAR DEVIDA A BACILLUS CEREUS
