codigo;nome
0101010010;ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO PRIMARIA
0101010028;ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPECIALIZADA
0101010036;PRATICA CORPORAL / ATIVIDADE FISICA EM GRUPO
0101010095;PREVENCAO DA COVID-19 NAS ESCOLAS
0101020015;ACAO COLETIVA DE APLICACAO TOPICA DE FLUOR GEL
0101020023;ACAO COLETIVA DE BOCHECHO FLUORADO
0101020031;ACAO COLETIVA DE ESCOVACAO DENTAL SUPERVISIONADA
0101020040;ACAO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLOGICA
0101020058;APLICACAO DE CARIOSTATICO (POR DENTE)
0101020066;APLICACAO DE SELANTE (POR DENTE)
0101020074;APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO)
0101020082;EVIDENCIACAO DE PLACA BACTERIANA
0101020090;SELAMENTO PROVISORIO DE CAVIDADE DENTARIA
0101020104;ORIENTACAO DE HIGIENE BUCAL
0101020112;ACAO COLETIVA DE PREVENCAO DE CANCER BUCAL
0101020120;ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS
0101030010;VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO
0101030029;VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR
0101040024;AVALIACAO ANTROPOMETRICA
0101040032;COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)
0101040040;PASTEURIZACAO DO LEITE HUMANO (CADA 5 LITROS)
0101040059;ADMINISTRACAO DE VITAMINA A
0101040067;DISPENSACAO DE SUPLEMENTO DE FERRO
0101040075;MEDICAO DE ALTURA
0101040083;MEDICAO DE PESO
0101040091;DISPENSACAO DE SUPLEMENTO DE MICRONUTRIENTES EM PO - NUTRISUS
0101040105;DISPENSACAO DE SUPLEMENTO DE ACIDO FOLICO 
0101050011;PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
0101050020;TERAPIA COMUNITARIA
0101050046;YOGA
0101050054;OFICINA DE MASSAGEM/ AUTO-MASSAGEM
0101050062;SESSAO DE ARTETERAPIA
0101050070;SESSAO DE MEDITACAO
0101050089;SESSAO DE MUSICOTERAPIA
0101050097;SESSAO DE ANTROPOSOFIA APLICADA A SAUDE
0101050100;SESSAO DE BIODANCA
0101050119;SESSAO DE BIOENERGETICA
0101050127;SESSAO DE CONSTELACAO FAMILIAR
0101050135;SESSAO DE DANCA CIRCULAR
0101050143;SESSAO DE TERMALISMO
0102010056;ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO
0102010064;ANALISE DE PROJETOS BASICOS DE ARQUITETURA
0102010072;CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA
0102010145;INSPECAO SANITARIA DE HOSPITAIS
0102010153;INVESTIGACAO DE EVENTOS ADVERSOS E/OU QUEIXAS TECNICAS
0102010161;EXCLUSAO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA COM ATIVIDADES ENCERRADAS.
0102010170;INSPECAO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA
0102010188;LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA
0102010196;APROVACAO DE PROJETOS BASICOS DE ARQUITETURA
0102010200;INVESTIGACAO DE SURTOS DE DOENCAS TRANSMITIDAS POR ALIMENTOS
0102010218;INVESTIGACAO DE SURTOS DE INFECCAO EM SERVICOS DE SAUDE
0102010226;ATIVIDADE EDUCATIVA PARA A POPULACAO
0102010234;RECEBIMENTO DE DENUNCIAS/RECLAMACOES
0102010242;ATENDIMENTO A DENUNCIAS/RECLAMACOES
0102010250;CADASTRO DE HOSPITAIS
0102010269;LICENCIAMENTO SANITARIO DE HOSPITAIS
0102010277;CADASTRO DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS
0102010285;INSPECAO SANITARIA DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS
0102010293;LICENCIAMENTO SANITARIO DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS
0102010307;CADASTRO DE INDUSTRIAS DE MEDICAMENTOS
0102010315;INSPECAO SANITARIA DE INDUSTRIA DE MEDICAMENTOS
0102010323;LICENCIAMENTO SANITARIO DE INDUSTRIAS DE MEDICAMENTOS
0102010331;CADASTRO DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAMA
0102010340;INSPECAO SANITARIA DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAMA.
